workbook,circular,mean,max,p10,p50,p90
3.319376.JCYKZYLL1N22BXOVNNI12QV4MAS5GU4XA.1.xlsx,0,1.54,3.00,1.00,2.00,2.00
3.31939.A5CFOTONFMDMZUWB45EKTL3OHPNXRRZUA.1.xlsx,0,1.77,88.00,1.00,2.00,2.00
3.319522.ENQ5UTPTVIOBAWXDCN1V3LBMC2ALRPDZB.2.xlsx,0,1.88,6.00,1.00,2.00,3.00
3.319715.K1PPNHTVJJHSZU1M4CFNYXD3AGKSR2HCA.1.xlsx,0,7.36,68.00,0.00,1.00,33.00
3.319718.NOVDT3S0J2KJ05E4X14YXHGWVDXKTS3FB.1.xlsx,0,101.00,201.00,21.00,101.00,181.00
3.319725.FSOBKYQI1IESII2B2JHCRYP2VPNUUZLAA.1.xlsx,0,7.36,68.00,0.00,1.00,33.00
3.319766.JOEVXTU5FRIMDZVJ1PBBZ1JT1LS5E0VEB.2.xlsx,0,6.39,18.00,1.00,6.00,14.00
3.319766.JOEVXTU5FRIMDZVJ1PBBZ1JT1LS5E0VEB.3.xlsm,0,1.99,42.00,1.00,1.00,2.00
3.319775.ADVUUWVQVHKEWO13EYDA0UC3CF3WQPA0A.2.xlsx,0,2.50,6.00,1.00,2.00,4.00
3.320174.HT35S3NGWEDWXUA2Z1TXNCTJFPR5OSNDB.1.xlsx,0,1.54,3.00,1.00,2.00,2.00
3.320512.HDBXZZCW3VRISWWEBE1EATMQVBWPOKSGA.2.xlsx,0,1.88,6.00,1.00,2.00,3.00
3.321295.AE53L5M533GUJRVCE04FTIHIEZXR1FRIB.1.xlsm,0,1.43,2.00,0.00,2.00,2.00
3.321295.AE53L5M533GUJRVCE04FTIHIEZXR1FRIB.2.xlsx,0,1.37,2.00,0.00,2.00,2.00
3.321312.GOSFP0YHPKHILBFKOPU4SAC3NVON0OUFA.2.xlsm,0,4.23,194.00,1.00,2.00,4.00
3.322177.AOK5VUWEZXFFK5GHDXVV1LRWPPR5T043B.1.xlsx,0,2.87,9.00,1.00,2.00,6.00
3.32246.IKZXYW0UKYKD4UEW3HLLNRDTK12EOOEJB.1.xlsx,0,1.77,88.00,1.00,2.00,2.00
3.322673.G2WOTB1OK0JQTOZDB3I3AHCI4IFK3YLJB.1.xlsm,0,1.81,15.00,1.00,2.00,2.00
3.322902.HWOO0NFBTIOYEYK1YZH2HSSLREXGGRFDB.1.xlsm,0,291.78,606.00,61.00,292.00,523.00
3.323025.GOXLQ35LSE42YIBO5E3PPGRMRMDIXO0LA.2.xlsm,0,123.20,254.00,17.00,123.00,229.00
3.323784.JNFEL4SIMREAUX2YTDWUBMKLRMV0NRWXA.1.xlsx,0,5.65,68.00,0.00,1.00,21.00
3.323827.EDCLJMHSQZZS4T5SL3LWCPJMLI0JEWLOA.1.xlsx,0,0.53,1.00,0.00,1.00,1.00
3.32383.C234IO0GXNDBR1K0JCVMCER1QQORAONAB.1.xlsx,0,1.77,88.00,1.00,2.00,2.00
3.323897.MZGGQ4B0SBTDBHEB5IWZFTPBO0N1YJCHA.1.xlsx,0,0.52,1.00,0.00,1.00,1.00
3.324181.GDRYKKSAMP5BJ4N4PIMQSLFKJJMLOCHRB.1.xlsm,0,9.09,19.00,1.00,9.00,17.00
3.324201.FLYUTYZ5LZKHLEBTGNLCE25SEHV3EKNUB.2.xlsm,0,1.49,4.00,0.00,1.00,3.00
3.32468.ICHEYHEWPK3CI1C0FGCWPJF3GKU2DOEOA.1.xlsx,0,1.47,2.00,1.00,1.00,2.00
3.324687.KIQIL4YDOJV4PTFOGLDT11CCPHJA42P0A.1.xlsm,0,1.65,7.00,0.00,1.00,4.00
3.325440.HYG5O5TN1BOTD5U5MJUO51OFKJNRYHUMB.1.xlsx,0,4.31,9.00,2.00,4.00,7.00
3.325441.LKG45JVQT2FBRGOZPTHC1KV2NFQYZ0FHB.1.xlsx,0,4.31,9.00,2.00,4.00,7.00
3.32609.CBC32SACHNXEZI01AD0XTDDJGGVDLBIWB.1.xlsx,0,14.35,61.00,1.00,3.00,46.00
3.32624.LR1O3F0DM5FAILWIKRMDUTVBJXXUDLOAB.1.xlsx,0,6.87,36.00,1.00,3.00,24.00
3.32634.MOIKOI4VVUBTXUVIPKMAIYC4ANH3D1VPB.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.32639.IG0PE541BIOD5QZK2AHLW1N2PJZRKI0BB.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.32651.NDPTCWXLTOJKXFYYENLRAYXYF2NY1HUKB.1.xlsx,0,1.47,2.00,1.00,1.00,2.00
3.327104.AQ3UWMOICPXRKQQFCAVLQPBNAROIFNDVB.1.xlsx,0,9.54,36.00,1.00,4.00,27.00
3.329136.COMX3QGQEZUOBO1EGNZI545E0RYJ3RLLA.1.xlsx,0,4.31,9.00,2.00,4.00,7.00
3.329182.BFKQCXAB5RPL2TXL3A4VQMEVZZ2R0I0IA.1.xlsx,0,2.87,9.00,1.00,2.00,6.00
3.32971.LH4AEK0V4SFVUI510R2TLBQSWZOD2X3FB.1.xlsx,0,1.00,2.00,1.00,1.00,1.00
3.33021.MT05MC0GPNI3VVBHIOU43K4HXDS0MSGYB.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.33026.FIZKANG1UFBFV0RF04BCYOQH2U35GBCRB.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.331948.HURTZVP1LD5LFWDGZBU5KWQ1R1EB0AVXB.39.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.331948.HURTZVP1LD5LFWDGZBU5KWQ1R1EB0AVXB.40.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.331948.HURTZVP1LD5LFWDGZBU5KWQ1R1EB0AVXB.41.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.331948.HURTZVP1LD5LFWDGZBU5KWQ1R1EB0AVXB.5.xlsx,0,5.65,68.00,0.00,1.00,21.00
3.331948.HURTZVP1LD5LFWDGZBU5KWQ1R1EB0AVXB.8.xlsx,0,1.49,2.00,1.00,1.00,2.00
3.33214.NU5Z3T4E0YEVOJPNMM0PFSDK4QKCJZ3FA.1.xlsx,0,6.87,36.00,1.00,3.00,24.00
3.33249.BRG0DNA2QGSIPPXU2OIKA2XISAVKE1XSA.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.332673.DT2RVOLCWKDSEMUPEO5Y41LQCY13WPZRA.1.xlsx,0,3.98,4.00,4.00,4.00,4.00
3.332864.CM4HXRR5IUGXAFVTKPJIWDET3RUOJZ1PB.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.332883.PSXLPUHRLGPILBA2JUWH03OXNVWASD1DB.1.xlsx,0,0.25,1.00,0.00,0.00,1.00
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.1.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.2.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.3.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.4.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.5.xlsx,0,1.52,3.00,1.00,1.00,3.00
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.6.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.7.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.332937.CY45OUIBH0KNCLXOBNLDZYZXNSFRZ4JIB.1.xlsx,0,0.59,1.00,0.00,1.00,1.00
3.33367.OJ0GNC5DDNNTXG35DZIR1FINLJMFY4HYA.1.xlsx,0,1.00,2.00,1.00,1.00,1.00
3.335252.MJTMUJ2NMQW4H3QVAVVDZ15MH0WHOS1JB.2.xlsx,0,1.88,6.00,1.00,2.00,3.00
3.335621.KJP1HIVO1E2I0LM45W5RCQ12PSKG1PTMB.2.xlsx,0,2.50,6.00,1.00,2.00,4.00
3.335628.KZNVLFUYVH4X5GWLKN3J30GMGFHBIFHMB.2.xlsx,0,6.39,18.00,1.00,6.00,14.00
3.335628.KZNVLFUYVH4X5GWLKN3J30GMGFHBIFHMB.3.xlsm,0,1.99,42.00,1.00,1.00,2.00
3.335637.LGGH5FAPG5OVOUKH20MHYOVEI44AUGGFB.1.xlsx,0,7.36,68.00,0.00,1.00,33.00
3.335645.BPDGD2VBNBLRYFTK3S0I5UOTW2S0GKFRB.1.xlsx,0,7.36,68.00,0.00,1.00,33.00
3.335646.MAQG320HECMMUV3ZDMWU4NRCP2ZOXYW5A.1.xlsx,0,101.00,201.00,21.00,101.00,181.00
3.337018.FVGW2AELAQBZGHJC21UAOE3F23S4TFYKA.1.xlsm,0,9.09,19.00,1.00,9.00,17.00
3.337021.HHDGGSYJKLLKFVOLVXQAHPJCK3VH1PZVA.2.xlsm,0,1.49,4.00,0.00,1.00,3.00
3.337256.DLFMCNJJ05ZKWXQIOKVGTMWAZ2E1EKFLA.1.xlsx,0,0.52,1.00,0.00,1.00,1.00
3.337343.PTUWRHBFVBS2ZI2VDY3SJYQHUOVA5XWEB.1.xlsx,0,5.65,68.00,0.00,1.00,21.00
3.337949.PSEQAF2HLB4XIYPMJ3ITQYYPNSERYTPZB.2.xlsm,0,123.20,254.00,17.00,123.00,229.00
3.338340.DVIOAABTQCAVWTOWFEFT2DWKBOSZRY5CB.1.xlsm,0,1.81,15.00,1.00,2.00,2.00
3.338349.OWKMGL5QD54DD2D214MJUHY5XZHZ5TQIA.1.xlsx,0,9.54,36.00,1.00,4.00,27.00
3.339666.HTGCBFKPJESBSLTX4GHE4IMPTYKXKAZOA.1.xlsx,0,0.25,1.00,0.00,0.00,1.00
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.1.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.2.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.3.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.4.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.5.xlsx,0,1.52,3.00,1.00,1.00,3.00
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.6.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.7.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.339725.OR415Z55DGB3VSZQ4MNAG5NOJM4QB05JB.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.33995.BHQYPGI2BQEQJR0G0C30LJVKCPVOKMGSA.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.34030.BUSDDGRKETF53MA0ESYTWCFZHCIOVOJSA.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.34070.N124JXOTTJF3QGBRXTUSVNJKHLWHTPQ3A.1.xlsx,0,0.89,1.00,0.00,1.00,1.00
3.342202.ENVLNRNQ2SA0GHZ5Y41AD4LNRM5JMA0IA.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.343134.E2PHLJKK5SMMYFIO3J5BND3QPUI0JC55A.1.xlsx,0,1.54,3.00,1.00,2.00,2.00
3.343830.AAGVKMZMNSJNZ5KIRE44WKBU5QBEJMWNA.1.xlsx,0,0.93,5.00,0.00,1.00,2.00
3.345707.HQSLWAWLFQ3KVW0CSOR0SNSPXN3B4D5PB.1.xlsx,0,1.54,3.00,1.00,2.00,2.00
3.345755.DJNE2YZRZJ1QOZ0Z4JVMU1NXT1ES0ASMB.2.xlsx,0,179.70,378.00,20.00,179.00,338.00
3.345755.DJNE2YZRZJ1QOZ0Z4JVMU1NXT1ES0ASMB.3.xlsx,0,179.70,378.00,20.00,179.00,338.00
3.345780.EPBCNLJR5OEYUW5RMDIS43M5IHHB2RGQB.1.xlsm,0,1.65,7.00,0.00,1.00,4.00
3.347518.OAVNR2XBYVJ5IR1WKD21RTC0XRFB1KINA.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.348332.J0BUG3K5MLQ3LMIVPSBGRLYBU1AICVNXA.1.xlsx,0,9.54,36.00,1.00,4.00,27.00
3.348382.G01QORCGDEOZMCDKYSB2YPWVJMO3VAJKA.1.xlsm,0,1.81,15.00,1.00,2.00,2.00
3.348723.AIZZ3RDWV3HPYFXI4LYATJFV0BVSEPAKB.1.xlsx,0,101.00,201.00,21.00,101.00,181.00
3.348726.E5BZWKCKBMF0S5IR3BIV5GBDFJQQI5IEA.1.xlsx,0,7.36,68.00,0.00,1.00,33.00
3.34949.HKGBPHBZJN21JO3QUHSUOHBO2CZ0GT5UB.1.xlsx,0,2.06,7.00,0.00,2.00,4.00
3.34958.HIHDFHEQFXFQ44PIZR1K205TOKAQZAUGB.1.xlsx,0,1.05,2.00,1.00,1.00,1.00
3.349617.CP11YJUFFZVAFYBR3QWMQ53UAWNJ31NKB.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.349724.E1VQHZ2LH31D3LS2HLSVXRKLD3BAVYE1A.1.xlsx,0,0.59,1.00,0.00,1.00,1.00
3.349994.LIF5WILAUROOHUUMZQFNS3KJ3EJUGOXHA.1.xlsx,0,0.53,1.00,0.00,1.00,1.00
3.350005.JASJCQY1KP40WUT1F4XV3AQO3MPSWTM1A.1.xlsx,0,0.52,1.00,0.00,1.00,1.00
3.350047.EQ5ONDGF5WNWE0ZZRAE04K2S0QFHMXO3A.1.xlsx,0,7.36,68.00,0.00,1.00,33.00
3.350049.CTV3DK24A2YHYYJKXZLYNTL3RS5OXED1A.2.xlsx,0,6.39,18.00,1.00,6.00,14.00
3.350049.CTV3DK24A2YHYYJKXZLYNTL3RS5OXED1A.3.xlsm,0,1.99,42.00,1.00,1.00,2.00
3.350053.CH2CLPINLCQ4DQQNPBMIQRKH5XCCEYXPB.2.xlsx,0,2.50,6.00,1.00,2.00,4.00
3.350056.E12VYJKU5H3QREE3L3LJ4I54ZXURN4CAA.1.xlsx,0,1.54,3.00,1.00,2.00,2.00
3.350129.CVIMGFWSZJJN22L42ZBFLTYV1RGVWEYNB.1.xlsx,0,2.87,9.00,1.00,2.00,6.00
3.350175.BMKHAIHJAFPDS3LOAPOMDAZMXWWFYDH0B.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.350258.HG2EAFFPR40HM5EU4NIKKSO0IE3YDHN0B.1.xlsx,0,2.87,9.00,1.00,2.00,6.00
3.350308.IT0ZHS3IWARPPDRV5WIZ3EN0FERBI0KEB.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.350415.NL11MHVNCEW41HAC5EPMJFDR0OWFOGMIA.1.xlsm,0,9.09,19.00,1.00,9.00,17.00
3.350416.IWFRPV5EDQ125UZSU45DU5UUYRW0XCCQB.2.xlsm,0,1.49,4.00,0.00,1.00,3.00
3.350552.KBIEMMTVPWQZC1C3NFA4QAWJHSM0HFSAB.2.xlsx,0,1.88,6.00,1.00,2.00,3.00
3.350985.BHKM1RZ2SUXGSU5BJPVAZZNACPZXGR2GB.1.xlsx,0,1.54,3.00,1.00,2.00,2.00
3.351162.IK2YGOK51QKSTT4Z5SPBBVATAQURSWWGB.1.xlsm,0,1.65,7.00,0.00,1.00,4.00
3.351439.IQ3ZVF1UQYFH3GOTE4P1PIKV5MMAIBJKB.6.xlsx,0,5.65,68.00,0.00,1.00,21.00
3.351459.JXSAYVNGEYOVOKSMK2UY3XW1EOH5AB3FB.24.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.351459.JXSAYVNGEYOVOKSMK2UY3XW1EOH5AB3FB.25.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.351459.JXSAYVNGEYOVOKSMK2UY3XW1EOH5AB3FB.30.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.351459.JXSAYVNGEYOVOKSMK2UY3XW1EOH5AB3FB.8.xlsx,0,1.49,2.00,1.00,1.00,2.00
3.351484.E1CDGHNESS0SFLNWEXJ2252M0HWJFSJLB.39.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.351484.E1CDGHNESS0SFLNWEXJ2252M0HWJFSJLB.40.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.351484.E1CDGHNESS0SFLNWEXJ2252M0HWJFSJLB.41.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.351484.E1CDGHNESS0SFLNWEXJ2252M0HWJFSJLB.5.xlsx,0,5.65,68.00,0.00,1.00,21.00
3.351484.E1CDGHNESS0SFLNWEXJ2252M0HWJFSJLB.8.xlsx,0,1.49,2.00,1.00,1.00,2.00
3.35169.KK52JBDVR1FERFY4KRGQ0WUD0XHEYLONA.1.xlsx,0,2.06,7.00,0.00,2.00,4.00
3.351701.JRITFHZABCKFUTGTO125MFSG52QSRX43B.1.xlsx,0,0.93,5.00,0.00,1.00,2.00
3.351763.NTWSD5H2LDWGNWK5IDOMAS5BSBALWJAAB.1.xlsx,0,3.98,4.00,4.00,4.00,4.00
3.35178.CLPU22NV0ZW5GYOSJH2UIEKYXNN5H1HYA.1.xlsx,0,1.05,2.00,1.00,1.00,1.00
3.35180.EWS2STLYHNI24121BYAF250HQQCUFVIIB.1.xlsx,0,1.05,2.00,1.00,1.00,1.00
3.353664.F3OJRQF0HVNMVMAMQSTLU552DIJWIBJUB.2.xlsm,0,123.20,254.00,17.00,123.00,229.00
3.353776.IHMKTRZ2LMD3DQ2VA5NDYYMWMKJAOFPGB.1.xlsx,0,5.65,68.00,0.00,1.00,21.00
3.354053.HARB4XTPOKSTXBOC3TRU4EHMKY5UMUNFA.2.xlsx,0,1.88,6.00,1.00,2.00,3.00
3.354069.J4JUILZG3C0LONUF24PXADWZMLEWVJOOA.1.xlsm,0,1.15,3.00,1.00,1.00,2.00
3.354069.J4JUILZG3C0LONUF24PXADWZMLEWVJOOA.2.xlsm,0,33.41,274.00,1.00,1.00,131.00
3.354070.E3XCIXLXXZZQ2IG1QZKKK3QJKTE0NDSRA.1.xlsm,0,1.15,3.00,1.00,1.00,2.00
3.354070.E3XCIXLXXZZQ2IG1QZKKK3QJKTE0NDSRA.2.xlsm,0,33.41,274.00,1.00,1.00,131.00
3.354123.GFF5QADSCRAUQZGYPLWLG04LNUAPZMZ4A.2.xlsx,0,1.88,6.00,1.00,2.00,3.00
3.354569.NHEYZKDBTFV2OLZGBK2DQ4DJEJ1GECCPA.1.xlsm,0,291.78,606.00,61.00,292.00,523.00
3.354594.MFRGEE2OAOD5V5PZPTNZ4PVHKX5SQRVDA.1.xlsm,0,1.81,15.00,1.00,2.00,2.00
3.354598.HRUJMZJAA5CG0ZOPCTFI2POU3UCGHZ1MB.1.xlsm,0,1.43,2.00,0.00,2.00,2.00
3.354598.HRUJMZJAA5CG0ZOPCTFI2POU3UCGHZ1MB.2.xlsx,0,1.37,2.00,0.00,2.00,2.00
3.354608.C1FFYKWG45WMS24HPH3PY2FX15FCTTKKA.2.xlsm,0,4.23,194.00,1.00,2.00,4.00
3.354620.FEV5YXFW1SSYD3VPM2D3XXLPTMJV1MFIB.1.xlsx,0,0.59,1.00,0.00,1.00,1.00
3.354629.OP0H1YFQ14D4HARIT3IBRKHCOTYRHMGIA.1.xlsx,0,0.25,1.00,0.00,0.00,1.00
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.1.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.2.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.3.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.4.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.5.xlsx,0,1.52,3.00,1.00,1.00,3.00
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.6.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.7.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.354678.OXX0ZPVUESDVR1MD41L4KZA4UPOUNA4KB.1.xlsm,0,1.43,2.00,0.00,2.00,2.00
3.354678.OXX0ZPVUESDVR1MD41L4KZA4UPOUNA4KB.2.xlsx,0,1.37,2.00,0.00,2.00,2.00
3.354693.CAMNXUF2JCRAPCIFWFC0AYHWEUPKHUGDB.2.xlsm,0,4.23,194.00,1.00,2.00,4.00
3.354702.D0IA0SAFR5SMW1CXE35TAQHOJWBKWYNOA.1.xlsx,0,0.59,1.00,0.00,1.00,1.00
3.354705.KETULL525JPL5IJOPKJEAUQT3MMMCRLXB.1.xlsx,0,0.25,1.00,0.00,0.00,1.00
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.1.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.2.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.3.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.4.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.5.xlsx,0,1.52,3.00,1.00,1.00,3.00
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.6.xlsx,0,1.55,3.00,1.00,1.00,3.00
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.7.xlsx,0,1.51,3.00,1.00,1.00,3.00
3.355001.KY5DNW2T4L2E2FV15C3WNCFMQF3O0YPOA.1.xlsx,0,82.17,234.00,2.00,67.00,199.00
3.355191.CQ02HUIRIF3OTXX1AJDGUNTR23XYKLKZA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.355465.PUV2MGHU4HIQMLWXIB33BKLD4N25NFF2A.1.xlsx,0,2.02,6.00,0.00,2.00,4.00
3.356900.CS3NWWBNBIHFK0GTLVKF1GIRKRL4O4QXB.1.xlsx,0,101.00,201.00,21.00,101.00,181.00
3.356963.KWCOZIFK5Z1W24BOHR3XI5I0WD4PT3YLB.1.xlsx,0,5.65,68.00,0.00,1.00,21.00
3.357053.J1ZBZJ5RSOUVIJKILDWDYWJ2PW03NO0LB.1.xlsx,0,7.36,68.00,0.00,1.00,33.00
3.357407.JFESHWK0WMLBUPYOOHDGVWI3IXVSGTSYB.16.xlsm,0,2.44,9.00,1.00,2.00,5.00
3.357413.O0ZWCQD4SW2D2THOPCTV321GYM23O4QPB.42.xlsm,5347,2.88,8.00,0.00,1.00,7.00
3.357415.PQY0T0QTXOB4FZC3GKNNF4EY0WCBNWMLA.16.xlsm,0,2.44,9.00,1.00,2.00,5.00
3.357421.P2EDAZ1CDPECSA52FHIAQTGN2AWTKEAMB.42.xlsm,5347,2.88,8.00,0.00,1.00,7.00
3.357424.CEJ1VM21YPSW11THO4K34OWQQWABNL3VA.16.xlsm,0,2.44,9.00,1.00,2.00,5.00
3.357432.JWRHQXG0GKJH0JJYCUQS0FF20NQ5PEB0A.42.xlsm,5347,2.88,8.00,0.00,1.00,7.00
3.357602.GPPLZMUQAWEH1X4DOJXJ3LSJ1EFO5URKB.3.xlsm,0,15.89,124.00,0.00,1.00,74.00
3.357759.E13Q5FINCPTOXQXZVUDJRYIKWGU5BJ1PA.1.xlsm,0,27.90,124.00,0.00,1.00,96.00
3.357835.GIWJ4L1IIXJYTMG3D1VXDPC2B0311AIXB.1.xlsm,0,51.02,299.00,1.00,2.00,190.00
3.357836.M1DCU1EP5YHNN1Y3KUQHBDGXX0H2F0EPA.1.xlsm,0,51.02,299.00,1.00,2.00,190.00
3.357837.NXLWYBHMPZWFPRKDZ2WHRDEZDLXJ5OOTA.1.xlsx,0,1.79,44.00,0.00,1.00,2.00
3.357838.A0R32JDMZSRA4VSFLWE2EQV0GZH4E12VB.2.xlsx,0,1.79,44.00,0.00,1.00,2.00
3.357840.BYWHOGMRE4TO22SE54EMO1ONL0BR5WWXA.2.xlsx,0,1.79,44.00,0.00,1.00,2.00
3.357993.KUAEUJJ2K1A3D15GO4HJKGDA5NWUYPQPB.1.xlsm,0,4.01,23.00,1.00,2.00,11.00
3.358031.BROCFSDHPPHVRAN0MHMFNHUOYLKJBYNZA.1.xlsm,0,4.01,23.00,1.00,2.00,11.00
3.358157.NQPSZ2NSA4SPGHA4EFVEPX0PPLEWYGE2B.1.xlsx,0,1.85,15.00,1.00,1.00,2.00
3.358319.FWXFP425502M0VUMN4OQOBYAKNZILRHJB.3.xlsm,0,15.89,124.00,0.00,1.00,74.00
3.358320.HX1FMIXSSHM5NXT0LA5V5DSXDTZHHLGPB.3.xlsm,0,15.89,124.00,0.00,1.00,74.00
3.358516.MCES01RXWPSIMIJ0ZVELREO2GMUGULBXA.1.xlsm,0,27.90,124.00,0.00,1.00,96.00
3.358702.DDBJG3ZDHJ0XPMXDXKQIVMIRQPN03VV1B.3.xlsm,0,15.89,124.00,0.00,1.00,74.00
3.358705.OCQUCIIP5TKOJMQRMDKNXL5HU0DZ2J0ZB.3.xlsm,0,15.89,124.00,0.00,1.00,74.00
3.359291.DBIOCUWVFLOQPGXQHMIKCUBQ1IABLX2ZB.3.xlsm,0,15.89,124.00,0.00,1.00,74.00
3.359492.ISGH4HXW1PPB0CQLV0ZNHVFKND21KWSIA.1.xlsm,0,27.90,124.00,0.00,1.00,96.00
3.359594.OPGRS1XE1DU5SUTS51HP01ZSASUQVOBAB.1.xlsm,0,51.02,299.00,1.00,2.00,190.00
3.359598.PRDC4JHKOXTHPOEMDCXCFDLVYS3ZBG51A.1.xlsm,0,51.02,299.00,1.00,2.00,190.00
3.359601.JI51M3WOEENGA1SR23A4XSCK1OQFBPMVB.2.xlsx,0,1.79,44.00,0.00,1.00,2.00
3.359602.BNB2RYNXSTWL34WOXIA0ITHN2PZMMA1XA.1.xlsx,0,1.79,44.00,0.00,1.00,2.00
3.359603.MOTWSMWJH4U20DBBDYZ4P52EXGXOIAXDA.2.xlsx,0,1.79,44.00,0.00,1.00,2.00
3.360495.HY0ZKT2WOOXY42LELOSQSBI0SSCA13CJA.1.xlsm,0,1.24,30.00,1.00,1.00,2.00
3.361247.BCPEMBKD4TPMC4N1OQPKGBYIJCUEOZJ2B.1.xlsx,0,1.85,15.00,1.00,1.00,2.00
3.361390.GDED0PMZBJ31C52TRJULIM4WEACFFCSTB.1.xlsm,0,27.90,124.00,0.00,1.00,96.00
3.361511.CCC5JKYX2X5HYGTQQJWBUFADSYTNPRW4A.1.xlsm,0,51.02,299.00,1.00,2.00,190.00
3.361512.LIR1KQZO5L4NRBBFPCMS3XFYGWUQ2XMSB.1.xlsm,0,51.02,299.00,1.00,2.00,190.00
3.361515.P4UZIWZROKJFUWYTA2TJIBEFJOVOYV13A.1.xlsx,0,1.79,44.00,0.00,1.00,2.00
3.361519.D4WPPZN2I5XLDNTJS3EDJWVH4CPXPJVNA.2.xlsx,0,1.79,44.00,0.00,1.00,2.00
