workbook,complex,very_complex,exceptionally_complex,formula_cells,total,mean,max,p10,p50,p90
fn_29_09_1999_tcm7-843.xlsx,26,0,0,87,179,0.834,2.200,0.600,0.600,1.500
SF-EES.xlsx,346,11,9,17,455,2.140,6.300,0.500,2.400,2.400
3.620021.OVCJ11Z2K4J2L41FM3XOOQFJWFHRWAAJA.1.xlsx,42,0,1830,0,2612,3.681,5.100,0.200,5.100,5.100
3.615909.OSHKD0OFLGHCFVY1RULCZV0VNIV3QUYZB.1.xlsx,0,0,0,0,448,0.397,0.900,0.100,0.500,0.500
3.421778.GQJ3RAHEO5Y21VWBNGMGJYOLBJT4ZAFIA.1.xlsx,23,0,0,0,2162,0.516,2.000,0.400,0.600,0.600
3.320174.HT35S3NGWEDWXUA2Z1TXNCTJFPR5OSNDB.1.xlsx,8372,8214,0,310,17496,3.241,4.300,2.500,2.500,4.300
3.861133.DXCNDG5N43XW5XTJTAXG5CSJTW0TONBNB.1.xlsx,1576,0,0,0,2736,1.436,2.200,0.200,2.200,2.200
3.56807.IOZHINEJKY350SOEY2USGGN3BA34ZONIB.1.xlsx,248,24,46,6,2087,0.876,11.800,0.300,0.600,1.700
3.1176873.LUZRPFRLOHU0ERIQ04ABCKEQMJHC0WXOA.1.xlsx,601,1,0,1600,6086,0.507,3.800,0.300,0.300,0.600
3.105528.BVEQIXG5QCLD21OX1A2MQPZ1VWIYLIQWB.1.xlsx,15,0,0,35,489,0.669,1.100,0.200,0.800,0.800
3.741385.B5ZYONBPZAGAJV2CQJSXOZX0HRAWUVKGA.1.xlsx,117,0,0,0,728,0.621,2.200,0.200,0.500,1.200
3.99864.LVMXATCKZQYJWNV12TCQGYRTSMHIEPQYA.2.xlsx,15,0,0,30,409,0.647,1.100,0.200,0.800,0.800
3.477882.NKW5EBIITDSGNWFO2HUHGFLGPZETZYKSA.1.xlsx,1282,25,900,5,2909,3.065,5.600,0.300,2.800,5.600
3.1197552.NHS4K00AHR1E2J0XCWOWB0XN5DRIJMOKB.1.xlsx,92,0,20,0,353,1.362,10.200,0.200,0.600,2.800
3.657643.J4JIY13JZCBHNHMZG1FQIEF404ISTSBVB.1.xlsx,13605,0,9070,1693,22675,4.580,11.800,1.500,2.800,11.800
final%20All%206%20net.xlsx,0,0,0,0,784,0.387,0.500,0.300,0.400,0.500
3.464995.OPCL4Y4OLTFXK1XQ3RXD4MVECKCOXMSSA.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.477843.I4IHOGPNMOMWZSXJQLYKMIMVCCR2XIAYB.1.xlsx,145,0,0,58,948,0.910,2.900,0.600,0.600,2.900
3.216816.G3A40OIOOPDQZJ1QW0SDSKBOGNLVX30XB.1.xlsx,0,0,0,0,616,0.300,0.300,0.300,0.300,0.300
3.632664.MSRSI3FM31LRVDHFCSH1FHD3ZTLJCFGZB.1.xlsx,276,0,0,8,276,2.312,2.600,2.300,2.300,2.300
3.109702.H4S2YWLEUF0VEMWBFXG1UX4RBAMQUZMHA.1.xlsx,10041,0,0,24495,10049,2.198,2.200,2.200,2.200,2.200
3.765899.DQV21S433ZKSWXAAASUWUOXGAZMDKVL2B.1.xlsx,83,27,1,47,281,1.267,6.200,0.200,0.600,2.300
3.90639.ESAYLSRKVHSEU24MFKGR0VNYTFLMXAM3B.2.xlsx,5628,92,5710,4451,14339,6.228,17.900,0.800,2.800,13.200
3.819672.A5CWW4KQQ1ECT1JOIFQZ45PS3CYCKKNSA.2.xlsx,40,0,0,0,382,0.682,2.800,0.300,0.500,2.200
3.360495.HY0ZKT2WOOXY42LELOSQSBI0SSCA13CJA.1.xlsm,659,259,184,390,16227,0.755,38.600,0.200,0.500,0.800
3.758099.K5CB2Z4OCKBPP2AM3JCPLHL0BJSGQWRGA.1.xlsx,117,0,0,0,728,0.621,2.200,0.200,0.500,1.200
3.400000.DCR1YMGPONFUQYZSHU2U34X4ASF251OIB.1.xlsm,38580,0,0,0,38602,2.699,2.700,2.700,2.700,2.700
3.462374.MKKJ31GNOLRJOY2PDJG1G3OGA34R3INAA.1.xlsx,499,0,0,1150,610,1.130,2.200,0.500,1.100,2.200
3.941160.NZ2QHX2WOMMVU14L1OGNJ5CBSSQX5TNVA.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.273843.L2RKJVIJSVCSGYNBNPDNHKH4XYWL4BJFB.1.xlsx,68511,14994,0,10824,114690,1.863,3.100,0.300,2.200,3.100
3.657647.ISG5RE4BIRO1PDUJ251AOKF1RLQCVKJWB.1.xlsx,13605,0,9070,1685,22675,4.580,11.800,1.500,2.800,11.800
3.1173905.MMNXPOYFHIFXVEG5FBXSV1VG4NETKUCNA.1.xlsx,3844,0,0,72,3844,1.206,2.200,1.200,1.200,1.200
3.1167783.OTD1L5AY0HGN3OCOHEPLTY5I200WXH4ZB.1.xlsx,0,0,0,0,367,0.600,0.600,0.600,0.600,0.600
3.597534.KERNTXV5WJPKJLYQCEON0QVMSKOEJGT2A.1.xlsx,41,1,0,168,234,0.606,4.800,0.200,0.300,1.100
3.422700.OFECLSGFA0RI3OMH3BEALN05JSDANTDXA.3.xlsm,1329,1687,6,24,9940,1.390,5.400,0.200,0.600,4.500
3.452246.MYWZBF31LHYABGVH0IKDJ3N0SE4QTW2WA.1.xlsx,37,71,0,7,657,0.813,3.300,0.300,0.300,3.000
3.43184.PRVHKGDRY5DEU4UQ5QTHCXKLSY4KSFJHA.1.xlsm,31062,0,0,5129,31062,2.268,2.500,2.200,2.200,2.400
3.837302.O2X1ZKFBXVWPGZTW2SJMTOHIAIC14UFZA.1.xlsx,4736,1432,2890,167,9059,4.611,10.200,2.400,2.400,10.200
3.772521.GUPGNJ55GP2YRDFPB0QL3WGM245YILMTB.15.xlsx,0,0,0,194,165,0.201,0.300,0.200,0.200,0.200
3.861165.C4QQPZMMVWUT05YND5COFVBGN3ZL5JSSB.1.xlsx,832,0,19,0,2136,1.278,6.000,0.500,0.600,2.500
3.16524.JCOPN2VZGJQGH1PJWGMEN031MR2LSIXOB.1.xlsx,1282,25,900,5,2909,3.065,5.600,0.300,2.800,5.600
3.420826.JRSNFXDXHAGO1CAHQKC4WAFAH3EMCE1UA.1.xlsx,507,1,0,1286,5156,0.504,3.800,0.300,0.300,0.600
3.87078.JSM44RV3E1ZJTBS11MMIS3ULZCTF5WXVA.1.xlsx,900,13,53,11,2883,1.248,11.800,0.300,0.700,2.600
3.742709.BT4NOX3STLNLGKXV00AJ0E2EI1IAU2RGA.1.xlsx,0,0,0,174,269,0.849,0.900,0.500,0.900,0.900
3.554753.NCVUZNAXOFPOO1GYEY0FAOLKEKIO0Y5RA.1.xlsm,3206,72,43,287,13702,0.801,9.200,0.200,0.500,2.200
3.450922.OSNNEB4HRS4QR2Q5MFL43A2UBZOED5K4B.2.xlsx,60,71,0,7,651,0.891,3.300,0.300,0.600,3.000
3.884422.CGSNTO4LOIK1INHOEYMNRIB0PLBGB0FHA.1.xlsm,38580,0,0,0,38602,2.699,2.700,2.700,2.700,2.700
3.347518.OAVNR2XBYVJ5IR1WKD21RTC0XRFB1KINA.1.xlsx,2322,13680,13680,0,29754,7.840,13.500,3.200,3.200,13.500
3.422212.HHYAOOT2QW3YC1O1ESZYYNNTWB4VU3JLB.1.xlsx,648,1,0,1718,6551,0.508,3.800,0.300,0.300,0.600
3.87236.FGDQO31C1CQUWQYO2EAEOE3CXOGRJ25XB.1.xlsx,38,0,0,0,196,0.735,1.000,0.600,0.600,1.000
3.476803.FAP0311JW4E4QOYPOJA1ACSE25IC2QU2B.1.xlsx,145,0,0,53,953,0.907,2.900,0.600,0.600,2.900
3.545074.BAG1CERO0H2VMIL5Y5NPWBOS33DTMMATB.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.614839.KT4012KE1HLWFOUS2SEFRANPZ2VRCW3DB.1.xlsx,2,0,0,173,422,0.787,2.200,0.400,0.900,0.900
3.658853.LHQEDQBNUGBGA52YZBIZHFFFMYZEYZDCB.1.xlsm,1822,96,0,156,2768,1.759,3.700,0.500,2.200,2.400
3.1177026.AUWQPATJWSYSHLCDSLVBEMKH5UNNT10YA.1.xlsx,601,1,0,1622,6086,0.507,3.800,0.300,0.300,0.600
3.400366.O3N0JDPBKX5X5UUQMZYACGX00Z1VD1OJB.1.xlsm,38580,0,0,0,38602,2.699,2.700,2.700,2.700,2.700
3.448087.IKXURJ2REGECNIXB2ZMS0VAZQMLTWMX3B.1.xlsx,94,0,0,0,1995,0.609,2.600,0.300,0.600,0.900
3.545267.GVDC4DY24YIA2H4FSU2CLJ0P2FFHB25RB.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.65940.LGFTR4T2UGWTWIPUCCGSHJPSRQZAMBQKB.1.xlsx,10041,0,0,24495,10049,2.198,2.200,2.200,2.200,2.200
3.999048.NN1I3UQFMOZIGATIP02ZEXZP4HMCYOKIA.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
UVIC_S%7E1.xlsx,96,16,0,0,519,0.759,3.000,0.200,0.500,2.200
3.432951.CM5FSRJYY4QQX4KTG5DQNKQSE20X05HQB.3.xlsx,212,19,0,0,431,1.058,4.700,0.200,1.000,2.500
3.215623.PBU1PBZLSRKXIHVC0NAT35GBUGYJE42RA.1.xlsx,0,0,0,0,616,0.300,0.300,0.300,0.300,0.300
3.565201.J0QV45YVNXFH3PZFB1MCVKNAA1VCF43RA.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.821299.KIATEDPJEZLCVNONE5LZAVWHNH3BBPLZB.1.xlsm,560,67,924,6,3144,3.611,16.600,0.200,0.800,11.100
3.555534.NRU3IBHC0XHWV0U01IBX3U2ZD2BDGC1GB.2.xlsm,3201,72,43,181,13813,0.796,8.300,0.200,0.500,2.200
3.814816.KXZCQCQVV5QANRKJ4IAO0CXKR5PLHLYFA.1.xlsx,192,1,0,252,9245,0.447,4.500,0.200,0.500,0.500
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.7.xlsx,11361,4115,0,6,23590,1.871,4.500,0.500,1.100,4.500
3.948710.EW3P2I25EN3L22MB0GNIISQYVY1K2QN2B.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.357835.GIWJ4L1IIXJYTMG3D1VXDPC2B0311AIXB.1.xlsm,832,556,1548,8,6044,2.207,9.100,0.200,0.700,5.900
3.821562.GPHDH4P4QLA0XSTTYASFAK0W1RO1S04IA.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.656970.IPWM1MTBVFZRRD1QC3ZHURJWSJ2MTGMGB.4.xlsx,467,0,0,16,1118,1.234,2.600,0.300,0.600,2.300
3.24617.MEOXALZLG1AIYA03KUFPRXWX0F04VDUVA.1.xlsx,521,2,0,0,907,1.614,3.500,0.200,2.200,2.700
3.754517.BSASWB4IUIM2GFJIZDHKBNBF2RV5EU4WB.3.xlsm,380,83,0,60,1002,1.269,4.100,0.400,0.900,2.200
3.89822.KD0GOKHJLL1Y0EHJQK1AMA4RKFD0RBN2A.1.xlsx,199,11,0,26,1266,0.768,4.800,0.300,0.600,2.200
3.396178.LSYQJIK041ITUDE4HMLP4HC1XNLNAJ1OA.2.xlsx,352,0,0,4,48509,0.309,2.200,0.300,0.300,0.300
How_to_Calculate_a_GPA.xlsx,3,0,150,0,262,8.220,21.900,0.200,6.100,21.900
Grades-FakingIt.xlsx,403,5,0,1,1193,1.023,3.400,0.200,0.500,2.200
3.448468.IH2K102I4RNCA0DJYBYXF4IESMRIBMUUB.1.xlsx,96,0,0,0,2023,0.611,2.600,0.300,0.600,0.900
RDERETS1.xlsx,432,2,0,465,496,2.200,3.000,0.500,2.400,2.600
3.105484.LN04CMCDLEUVUBJKPARFVXW3J3VWFTUEA.1.xlsx,0,0,0,55,220,0.425,0.500,0.200,0.500,0.500
3.630445.HAYMQ0VCWR1Y4CFKY0D3IG5NY1RLGBJGB.1.xlsx,347,124,0,7,1837,0.891,3.100,0.200,0.200,2.500
3.911172.OVGDIYQKZ2TPSQX5BMNINKQ0J13M3GG3A.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.774033.K2LUW0DXDJXPTPBVQYRSLCALR40LDH1QA.35.xlsx,0,0,0,183,167,0.202,0.300,0.200,0.200,0.200
FB54_59.xlsx,0,0,0,0,342,0.316,0.600,0.300,0.300,0.300
3.468825.J000CIPVJZL1KROJZWR20DCNWBWFDT0AA.1.xlsm,5464,0,0,0,5486,2.690,2.700,2.700,2.700,2.700
3.384365.BBRL1KYVT1YYNRDBO2A5PLKB5CXIYYHMB.3.xlsx,10,0,0,0,412,0.502,2.200,0.200,0.500,0.500
3.212891.LX1CVU0HHKHBWVV34FHYQ4V2BHATMHG1B.2.xlsm,197,5,0,20,823,0.903,3.900,0.200,0.600,2.200
3.1190171.AMGOWPGEID4TU2ARDWPQDYHF141PMABCA.1.xlsx,0,0,0,189,166,0.201,0.300,0.200,0.200,0.200
3.640564.E1EVYFLDYGNSUXC45WF4V4NDJPQ4E53XA.1.xlsx,96,0,0,177,192,1.350,2.200,0.500,2.200,2.200
3.997821.FUO43FV1NPLUYCHBLOCOCBQ40TMUSFX0B.3.xlsx,21,302,148,0,1386,1.943,5.000,0.300,0.500,5.000
3.823775.PCY044DVFXNF5P2RH3WO3DU1WNHQFNBKB.1.xlsx,136,0,113,56,527,2.269,9.200,0.200,0.500,7.000
3.873986.MAG4PFSRQYROXV1JU3F2UOOBJI5NTB00B.1.xlsx,3366,0,0,0,3420,2.365,2.400,2.400,2.400,2.400
3.923645.KRDWQUAPL53MYR4MEKOT4WJACNAOG2THB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.880685.GGKWU2GJHBGYZYCA0R5XEFAWPL0L3ZMKA.1.xlsx,414,0,0,2788,2808,0.421,1.100,0.200,0.200,1.100
Course_Schedule.xlsx,0,0,0,0,99,0.300,0.300,0.300,0.300,0.300
3.772521.GUPGNJ55GP2YRDFPB0QL3WGM245YILMTB.19.xlsx,0,0,0,198,165,0.201,0.300,0.200,0.200,0.200
3.367327.HJYMD3F0W1ZTN113NL1EQ05F30AIXEYCB.1.xlsx,56,0,0,0,532,0.584,2.200,0.200,0.500,2.200
3.425201.L4SEUL5UCDQFQ1RMPR01U0F2AG2LGMOIB.1.xlsx,0,0,0,0,448,0.397,0.900,0.100,0.500,0.500
3.510181.JYJILMLCNJNFVKGDCVXHGYRCVTKWIXWZA.1.xlsx,724,0,0,2099,2385,1.055,2.600,0.200,0.800,2.200
3.140743.NW20IAP42HPGPK135GX0R3U5GJ51QTDIA.4.xlsx,0,747,0,0,747,3.479,3.500,3.400,3.500,3.500
3.1028915.EZLCQMYVG1ZA14IEFVWYUIEPYCTO5CJGB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.136685.GN11FCXLYIKH3YBWOZHANITEVFZLSLEGB.2.xlsx,0,151,0,0,151,3.400,3.400,3.400,3.400,3.400
3.657641.FLMREF043GA4GOKX01TOWLPIL4CGNVX0A.1.xlsx,13488,0,8992,1635,22480,4.580,11.800,1.500,2.800,11.800
3.461570.DVRY4QYBV2KBWWALS4VDCIIZGAQWIRWRB.1.xlsm,5424,0,0,0,5446,2.690,2.700,2.700,2.700,2.700
ColdStorage.xlsx,9,4,0,0,294,0.540,3.000,0.300,0.500,0.500
3.209007.KRYAYI1FU4EWDSQSIFHPWKXJK1PRBUZZB.1.xlsx,16,69,69,0,339,1.928,7.300,0.200,0.200,5.000
3.930450.CAIYQOOB3L1BXFNZOU3VT11MFWH4ODJOA.1.xlsx,1,0,0,0,397,0.556,2.200,0.500,0.500,0.700
3.416215.JESPG0W5BKRWK3OAPYXJY1EKTDZNHIB1A.1.xlsm,377,0,0,0,1241,0.929,2.800,0.200,0.500,2.400
3.9267.EDRAQ3HLKFUA5VZHNS55MV41ZP2S13ZMB.1.xlsx,0,0,92,5,93,9.697,9.800,9.800,9.800,9.800
3.1167325.FD24FQX02YDFRTTALSBWW54ZC14XEFYTA.1.xlsx,78,0,0,2,78,2.200,2.200,2.200,2.200,2.200
3.358320.HX1FMIXSSHM5NXT0LA5V5DSXDTZHHLGPB.3.xlsm,615,240,1640,484,3011,4.033,8.400,0.500,5.500,5.500
3.440602.HQHPFAK5ZOMSHDHIUJQA5ABWJOO4LWQ2A.1.xlsx,365,118,0,2,1924,0.971,4.200,0.300,0.600,2.700
3.274151.E0EVDDWTRWWAYIHNK4YPFILMZN3QMG21A.1.xlsx,810,0,0,0,1631,1.593,2.700,0.500,0.500,2.700
3.120169.IKWUJMOZDKANIETCNFVUWU0HGOXNGNLFB.1.xlsx,155,0,0,0,289,1.190,2.500,0.300,1.100,2.500
3.861685.MLHWQTFUU24EYD3KBBMDHCU4ZFY03QRPA.1.xlsx,0,0,0,0,301,0.500,0.500,0.500,0.500,0.500
3.931607.OUQBOYCIWQH15GFRZQKRNYVF3O5QHEZOB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.189139.LTXTVIR1ISHAAZEN5WBDCQAL0L3BNK2UA.1.xlsm,159,75,421,0,2540,1.439,10.300,0.300,0.300,5.500
3.108453.KJDJDUULMCDQBJORUQRX4UHG3SJE10WVA.1.xlsx,324,21,48,26,2125,0.927,7.700,0.300,0.600,2.200
3.421858.CUWKBLBHSDJHX2SHFMYOKR312GFQZIOKB.1.xlsx,57,1,0,140,507,0.553,3.800,0.300,0.300,2.200
3.440479.PXTTQ3PETHMCGPY4WUPIP30ZMOBOMB4MA.1.xlsx,402,127,0,2,2083,0.984,4.200,0.300,0.600,2.700
3.545047.MHZQFPXJJ53TA4FQVB1ZS2P5Y4T2KQSCA.2.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.32651.NDPTCWXLTOJKXFYYENLRAYXYF2NY1HUKB.1.xlsx,6948,0,0,0,6948,2.467,2.700,2.200,2.700,2.700
EDPAnnex1.xlsx,0,130,1205,0,1335,33.269,49.300,11.000,35.200,48.300
3.861324.JKGFIHIP1YRT5TVQWCOEGCSRRYJMFN03B.3.xlsx,1576,0,0,0,2736,1.436,2.200,0.200,2.200,2.200
3.606800.ATK4NZ1TLU3HMAYZEGN0QQFXKBL5SLLOB.1.xlsx,358,0,0,336,390,2.040,2.200,2.200,2.200,2.200
3.757944.HKV54TKDVYU52G3G3XNJ1HIWZHSDIVELB.1.xlsx,104,0,0,1,675,0.617,2.200,0.200,0.500,1.200
3.445996.D44WZEXIBERJKUXS1H4FGBAKWQQ5FGFYB.1.xlsx,228,0,107,0,6925,0.570,9.300,0.200,0.500,0.500
3.1187420.PSBGCMTALY342L0JK0FQNXTWKC0FSVJSB.3.xlsx,0,0,0,189,167,0.202,0.300,0.200,0.200,0.200
3.1167372.CN1RFDTHOLAM1YQU5NSKZBZXWKQP5WRJA.1.xlsx,289,0,0,0,290,1.299,2.000,1.300,1.300,1.300
3.70448.CSNFDQK5GHJUREDWC1VD0YE0SUL2V11RA.1.xlsx,227,11,0,26,1429,0.775,4.800,0.300,0.600,2.200
3.307328.BU1VD1NTJDFGYIVC4TVKMRRVASNXKP3DB.1.xlsx,1,0,0,0,195,0.310,2.200,0.300,0.300,0.300
3.57462.GAYEA0YYJ0FBOTVCP1OFYSQEAILSR01XB.1.xlsx,98,0,0,59,198,1.333,2.600,0.500,0.500,2.200
3.607433.ERKI4O3GHDKSKEOIOUDRGYH2OIL3BXBGB.1.xlsx,637,0,0,681,693,2.042,2.200,2.200,2.200,2.200
3.1177108.DEOIFOV2LA4DEXHKQNIMJC5N1HZVPOQ0B.1.xlsx,507,1,0,1309,5156,0.504,3.800,0.300,0.300,0.600
3.552906.PD0GA21GDR5QNEF1LDJSL2KNHN1LTMZQA.1.xlsx,0,4228,4228,0,8456,4.250,5.100,3.400,5.100,5.100
3.868857.JYA1UDMKEVWUSYZZCIVGETYUTGTVZ2WDB.1.xlsx,9,0,0,0,100,0.653,2.200,0.500,0.500,0.500
3.682787.DL3PKFJL05B21LEDN3SJJ5OCCZFXKLPZA.1.xlsx,10,0,0,0,107,0.659,2.200,0.500,0.500,0.500
3.659415.MC2DNVYC45TRPDRZZ24XMXU252ZLD5GWB.1.xlsm,1822,96,0,156,2768,1.759,3.700,0.500,2.200,2.400
final_report.xlsx,297,27,3,0,903,1.164,9.100,0.200,0.200,2.800
3.55838.BHZPIYRWZ1XGFOLEQZ2QVUOFQULHK1OWA.1.xlsx,237,11,0,26,1251,0.820,4.800,0.300,0.600,2.200
3.261901.B1KKHZ1OBNPM4XTSJCFWZWNKC11TYV5TA.2.xlsx,1723,0,1,0,4273,1.107,13.800,0.200,0.600,2.500
3.189147.EF33RHE4XHQ4UR5P343L4RSTOKN0LR1RA.1.xlsm,159,75,421,0,2540,1.439,10.300,0.300,0.300,5.500
3.912103.NVGX3E22TREEWA4MXO0SPZ2ZLKKCB5NJA.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.194011.FGBPQK0BSFBINKLVSCJEFE41N3JIPHBPB.1.xlsx,280,0,0,190,560,0.900,1.000,0.800,1.000,1.000
3.1131926.K03VKA4ZCCUICSDD53JB5S1TOPBPWVPQB.1.xlsx,0,0,0,198,165,0.201,0.300,0.200,0.200,0.200
3.209007.KRYAYI1FU4EWDSQSIFHPWKXJK1PRBUZZB.2.xlsx,16,69,69,0,339,1.928,7.300,0.200,0.200,5.000
3.100048.I5A3JU3YROTDCWKBWPGYDWEZT1AEG3JLA.1.xlsx,900,13,53,11,2883,1.248,11.800,0.300,0.700,2.600
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.6.xlsx,9707,3984,0,0,21538,1.831,4.500,0.500,1.100,4.500
3.522825.BXGY2S2YDIDMOQY2PYB2NLNYRAW4BIFXB.1.xlsm,2143,130,279,20,10317,0.956,23.600,0.200,0.200,2.200
3.275134.NN0JI31HSBQP4XNGTKDPTHAWGXHTBDT0A.1.xlsx,128,0,0,70,128,2.800,2.800,2.800,2.800,2.800
3.683537.FX3YCWKY4WS5SGNXMEYUPP3SIQIRX0Q5B.1.xlsx,81,0,0,10,81,2.200,2.200,2.200,2.200,2.200
3.119003.FPJJSD0GT1GEZAFBJMUMWVFOIWDTONRWB.2.xlsx,79,20,4,0,412,0.992,10.100,0.200,0.500,2.500
3.601853.EPOJ515YHX0WH5APSTYHLHYDIGWD2XLCA.1.xlsx,443,0,0,17,5606,0.603,2.600,0.300,0.500,0.800
3.55612.PGA03PCLCVRM3EH1CVH5YYQ5EBMJ3L4KA.1.xlsx,15,0,0,35,489,0.669,1.100,0.200,0.800,0.800
3.912119.GQ3DKQVIMRIJPRVTSEP1BAZFAQP3SMK0A.1.xlsx,1,0,0,0,397,0.556,2.200,0.500,0.500,0.700
3.314215.FUGRHNNMGIOKRRBKPNIBW1HWNHW1B5TIB.7.xlsx,11361,4115,0,6,23590,1.871,4.500,0.500,1.100,4.500
PWP.xlsm,64,12,280,0,420,7.615,21.000,0.800,7.100,21.000
3.719894.LOXVDEBC3WHEKABI2ARLJ2LJ5PMGSAV1B.1.xlsx,15860,0,0,0,26276,1.647,2.500,0.500,2.300,2.500
3.1179792.JN1D2PGYSOBPRSJNODVOLYF0CQJOLC3GB.1.xlsx,876,0,0,0,5346,0.711,2.300,0.400,0.400,2.300
3.613764.GX0WTKYYVOTGWIXLKQVJXWUHKBN1XBWVA.1.xlsx,144,40,20,222,1573,0.707,7.200,0.200,0.500,2.600
3.886955.ON4YYWXOWJ00LS4PJFHOOFTXIYE00T5SB.1.xlsx,414,0,0,2788,2808,0.421,1.100,0.200,0.200,1.100
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.1.xlsx,9707,3984,0,0,21538,1.831,4.500,0.500,1.100,4.500
3.65952.PCDQAPTFG0NCFRT0XJGE20YE3X12AGGVA.12.xlsx,197,0,0,42,1988,0.653,2.900,0.200,0.500,0.800
3.419320.F4411BB4IZO350QAOR3NKIW021RZY1TAA.2.xlsm,120,96,778,2,1808,3.235,14.700,0.500,2.300,6.200
3.657196.LHWINPTTLOBFCXDI4EQINK005W0YZFKIB.1.xlsx,13605,0,9070,1685,22675,4.580,11.800,1.500,2.800,11.800
3.904947.J5FZK0SVVZEYPVSB4U1KS1JTMYYZDEPVA.4.xlsx,656,81,0,30,2206,1.132,4.800,0.100,0.500,2.800
3.113237.E2BQ3PXGKSSW0FRUPSHJH0XFWLG4FNLGA.1.xlsx,0,0,0,55,220,0.425,0.500,0.200,0.500,0.500
3.310789.PLNQGYDTTQNWND4JDGNJZ01N2BLKHUQFB.1.xlsx,550,0,0,550,3262,0.736,2.200,0.400,0.400,2.200
3.451109.J2UV1A3VSYW0GDF3SDVER5SD4EIUZOY3A.1.xlsx,37,71,0,7,657,0.813,3.300,0.300,0.300,3.000
3.1166243.EOKR0EKLW1EH2UGEDMTDU3IJINDITHOWA.1.xlsx,180,0,0,0,2790,0.675,2.400,0.400,0.600,0.700
3.760902.BSLLE5KCMCBRS32VFFX20OMXXTD0B2GSB.1.xlsx,192,10,0,7,1174,0.649,3.000,0.200,0.500,1.200
3.721111.JIZOYE5ICWXKPAXWAJZXURMC3NQ41F3DB.1.xlsx,385,103,0,0,16012,0.627,4.900,0.300,0.600,0.600
3.53524.GLREKSA4PJUB2QWLZLRFBPVII2LEYKYFB.1.xlsx,1327,383,94,0,9275,0.885,5.700,0.200,0.600,2.200
3.455122.M1YZNSSO5DYOWQ4GEFDYR3XFZAMFG1TUA.1.xlsx,0,0,0,0,226,0.543,0.600,0.400,0.600,0.600
3.275019.NO0RRVDDQ4N0JCUDDIWENEOFZQGIRFSAB.1.xlsx,134,0,0,74,134,2.800,2.800,2.800,2.800,2.800
3.636356.DURTZG1UFMRT042JZLKAV4OCNXZKESRHB.1.xlsx,0,0,0,241,454,0.600,0.600,0.600,0.600,0.600
3.478960.C302WC0LZJFFZFYXAITA45WKO30YZBTXB.1.xlsx,148,0,0,0,154,2.122,2.200,2.200,2.200,2.200
3.1139698.PAXSVY2TYJMXYQMBQVBVP2ZF213D304DB.1.xlsx,78,4,0,25,651,0.673,3.100,0.300,0.500,2.200
3.12069.LKNMK14AUUEGITD0ALPC3YVN3K5R0CXYA.1.xlsm,365,36,352,0,1085,4.392,15.900,0.200,2.400,9.800
3.345707.HQSLWAWLFQ3KVW0CSOR0SNSPXN3B4D5PB.1.xlsx,8372,8214,0,310,17496,3.241,4.300,2.500,2.500,4.300
3.417887.EPNVJTD1UCTANSC3EI2MC532WMTUDMRGB.1.xlsx,173,90,0,2,1286,0.920,3.100,0.500,0.500,2.200
3.192264.EZ4LYJ5YT0PE422OQKGP4UVWW2J5RHHZA.1.xlsx,10,0,0,0,107,0.659,2.200,0.500,0.500,0.500
3.756645.AO0ADSBZEWPDK0JVO5B2MWPT52AXM1SAA.3.xlsm,380,83,0,60,1002,1.269,4.100,0.400,0.900,2.200
3.686016.NZRZEP2NLEEGCQ3PBJPDGAHBQWGNGVCZB.1.xlsx,9,0,0,0,176,0.587,2.200,0.500,0.500,0.500
spring2003spreadsheet.xlsx,105,0,0,0,722,0.561,2.500,0.200,0.300,2.200
3.36856.OS12J3NOUJ133RVHRUOUHALZIJIM4YKVB.1.xlsx,9,0,0,0,100,0.653,2.200,0.500,0.500,0.500
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.3.xlsx,9707,3984,0,0,21538,1.831,4.500,0.500,1.100,4.500
3.308431.IEQROZZTWR3GHAEOWBHAMW0KD0QOQ4LFA.1.xlsx,109,0,0,18,253,1.232,2.200,0.500,0.500,2.200
